Godolphin, Bernard 57 3
           1 Buck, Carter 25.27 UT 20
           1 Buck, Carter 54.28 UT 20
           1 Buck, Carter 1:58.39 UT 20
           6 Buck, Carter 2:03.62 UT 13
Armstrong, David 33 4
           2 Armstrong, David 25.90 Mustangs 17
           35 Armstrong, David 26.76 Mustangs 0
           3 Armstrong, David 56.11 Mustangs 16
           35 Armstrong, David 31.14 Mustangs 0
Legault, Julien 44 5
           3 Legault, Julien 26.14 Brock Badgers 16
           31 Legault, Julien 26.65 Brock Badgers 0
           5 Legault, Julien 57.33 Brock Badgers 14
           40 Legault, Julien 24.89 Brock Badgers 0
           5 Legault, Julien 2:06.56 Brock Badgers 14
Stewart-Beinder, Luke 44 4
           4 Stewart-Beinder, Luke 26.19 Mustangs 15
           17 Stewart-Beinder, Luke 56.99 Mustangs 0
           4 Stewart-Beinder, Luke 22.58 Mustangs 15
           5 Stewart-Beinder, Luke 49.79 Mustangs 14
Campbell, Colin 24 5
           5 Campbell, Colin 26.41 MACU 14
           36 Campbell, Colin 59.89 MACU 0
           11 Campbell, Colin 4:07.15 MACU 6
           14 Campbell, Colin 2:07.41 MACU 3
           16 Campbell, Colin 16:47.14 MACU 1
Weaver, Liam 48 3
           6 Weaver, Liam 26.44 UT 13
           1 Weaver, Liam 21.88 UT 20
           4 Weaver, Liam 49.61 UT 15
Yang, Bryan 12 4
           7 Yang, Bryan 26.50 Warriors 12
           19 Yang, Bryan 25.90 Warriors 0
           23 Yang, Bryan 1:01.00 Warriors 0
           47 Yang, Bryan 54.00 Warriors 0
Nolan, Quinn 26 5
           8 Nolan, Quinn 26.54 Gryphons 11
           22 Nolan, Quinn 4:49.23 Gryphons 0
           6 Nolan, Quinn 58.06 Gryphons 13
           19 Nolan, Quinn 29.78 Gryphons 0
           15 Nolan, Quinn 2:10.07 Gryphons 2
Madi, Yasseen 9 4
           9 Madi, Yasseen 27.00 QUE 9
           31 Madi, Yasseen 1:02.05 QUE 0
           18 Madi, Yasseen 24.00 QUE 0
           30 Madi, Yasseen 53.00 QUE 0
Zhang, Charles 32 4
           10 Zhang, Charles 27.09 Mustangs 7
           7 Zhang, Charles 58.53 Mustangs 12
           6 Zhang, Charles 2:06.78 Mustangs 13
           21 Zhang, Charles 2:12.73 Mustangs 0
Marcial, Charles 31 6
           11 Marcial, Charles 27.40 Warriors 6
           7 Marcial, Charles 1:02.74 Warriors 12
           29 Marcial, Charles 58.40 Warriors 0
           11 Marcial, Charles 25.31 Warriors 6
           17 Marcial, Charles 1:00.36 Warriors 0
           10 Marcial, Charles 28.92 Warriors 7
Drabik, Cyrus M 23 5
           12 Drabik, Cyrus M 27.49 MACU 5
           9 Drabik, Cyrus M 25.25 MACU 9
           9 Drabik, Cyrus M 23.17 MACU 9
           32 Drabik, Cyrus M 30.87 MACU 0
           25 Drabik, Cyrus M 52.78 MACU 0
Omondi, Alvin 6 4
           13 Omondi, Alvin 27.63 Mustangs 4
           15 Omondi, Alvin 1:00.05 Mustangs 2
           43 Omondi, Alvin 24.96 Mustangs 0
           35 Omondi, Alvin 53.42 Mustangs 0
Wang, Justin 3 5
           14 Wang, Justin 27.69 Warriors 3
           47 Wang, Justin 27.14 Warriors 0
           20 Wang, Justin 1:00.63 Warriors 0
           21 Wang, Justin 24.30 Warriors 0
           39 Wang, Justin 53.58 Warriors 0
Crawford, Ethan 2 5
           15 Crawford, Ethan 27.72 Warriors 2
           26 Crawford, Ethan 1:01.17 Warriors 0
           44 Crawford, Ethan 24.98 Warriors 0
           31 Crawford, Ethan 2:22.99 Warriors 0
           55 Crawford, Ethan 54.78 Warriors 0
Chard, Adam 2 5
           16 Chard, Adam 27.86 Gryphons 1
           27 Chard, Adam 58.16 Gryphons 0
           22 Chard, Adam 26.16 Gryphons 0
           16 Chard, Adam 1:00.31 Gryphons 1
           30 Chard, Adam 2:19.62 Gryphons 0
Zhang, Byron 5 4
           17 Zhang, Byron 27.88 MACU 0
           34 Zhang, Byron 59.56 MACU 0
           12 Zhang, Byron 59.91 MACU 5
           33 Zhang, Byron NT MACU 0
Pereira, Nicolas 0 4
           18 Pereira, Nicolas 27.90 Gryphons 0
           18 Pereira, Nicolas 1:00.41 Gryphons 0
           66 Pereira, Nicolas 25.90 Gryphons 0
           23 Pereira, Nicolas 2:14.48 Gryphons 0
Potma, James 0 4
           20 Potma, James 28.09 QUE 0
