Event: 1 Women 50 SC Meter Freestyle 
Name : Tremblay, Sandy, Seed Time: 33.38, Ranking: 40, Points: 0, Team Name: Lav, Age: 20 
Name : Wall, Jenna, Seed Time: 34.13, Ranking: 41, Points: 0, Team Name: McGILL, Age: 19 
Name : McDonald, Abby, Seed Time: 34.35, Ranking: 42, Points: 0, Team Name: UT, Age: 22 
Name : Berrigan, Meghan, Seed Time: 34.88, Ranking: 43, Points: 0, Team Name: Ualberta, Age: 18 
Name : Spence, Emma, Seed Time: NT, Ranking: 44, Points: 0, Team Name: Ubc Thunderbirds, Age: 20 
Name : Nielson, Kate, Seed Time: NT, Ranking: 45, Points: 0, Team Name: Uottawa Gee-Gees, Age: 22 

Event: 6 Men 50 SC Meter Breaststroke 
Name : Hess, Apollo, Seed Time: 26.63, Ranking: 1, Points: 20, Team Name: Horns, Age: 20 
Name : Mastromatteo, Gabe, Seed Time: 26.95, Ranking: 2, Points: 17, Team Name: UT, Age: 20 
Name : Lemesle, Hugo, Seed Time: 27.49, Ranking: 3, Points: 16, Team Name: Uottawa Gee-Gees, Age: 20 
Name : Migneault, Justice, Seed Time: 27.67, Ranking: 4, Points: 15, Team Name: Ubc Thunderbirds, Age: 20 
Name : Yu, Tengbo, Seed Time: 27.69, Ranking: 5, Points: 14, Team Name: McGILL, Age: 22 
Name : Bennett, Tristan, Seed Time: 27.74, Ranking: 6, Points: 13, Team Name: Horns, Age: 18 
